title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source
F.E.A.R.,10/17/2005,Monolith Productions,VU Games,FPS,Rated M For Mature,8.5,Xbox 360,85,dataset3
Rad,8/20/2019,Double Fine Productions,Bandai Namco Games,Action Adventure,Rated T For Teen,6.6,Nintendo Switch,68,dataset3
Rad,8/20/2019,Double Fine Productions,Bandai Namco Games,Action Adventure,Rated T For Teen,6.6,PlayStation 4,74,dataset3
Rad,8/20/2019,Double Fine Productions,Bandai Namco Games,Action Adventure,Rated T For Teen,6.6,Xbox One,76,dataset3
Rad,8/20/2019,Double Fine Productions,Bandai Namco Games,Action Adventure,Rated T For Teen,6.6,PC,71,dataset3
Garden Story,8/11/2021,Picogram,Rose City Games,Open-World Action,Rated E +10 For Everyone +10,7.7,PC,70,dataset3
Garden Story,8/11/2021,Picogram,Rose City Games,Open-World Action,Rated E +10 For Everyone +10,7.7,Nintendo Switch,73,dataset3
Garden Story,8/11/2021,Picogram,Rose City Games,Open-World Action,Rated E +10 For Everyone +10,7.7,Xbox One,tbd,dataset3
Shining Force: Resurrection of the Dark Dragon,6/8/2004,Amusement Vision,Atlus,Turn-Based Tactics,Rated T For Teen,8.4,Game Boy Advance,77,dataset3
Knowledge is Power,10/24/2017,Wish Studios,Sony Interactive Entertainment,Party,Rated T For Teen,7.2,PlayStation 4,71,dataset3
God Mode,4/19/2013,Old School Games,Atlus,Third Person Shooter,Rated M For Mature,6.8,PC,58,dataset3
God Mode,4/19/2013,Old School Games,Atlus,Third Person Shooter,Rated M For Mature,6.8,PlayStation 3,60,dataset3
God Mode,4/19/2013,Old School Games,Atlus,Third Person Shooter,Rated M For Mature,6.8,Xbox 360,58,dataset3
Murakumo: Renegade Mech Pursuit,3/5/2003,From Software,Ubisoft,Rail Shooter,Rated T For Teen,,Xbox,48,dataset3
Land Sliders,9/24/2015,Prettygreat Pty. Ltd.,Prettygreat Pty. Ltd.,Action,,3.6,iOS (iPhone/iPad),88,dataset3
Forza Horizon 3: Hot Wheels,5/9/2017,Playground Games,Microsoft Game Studios,Auto Racing Sim,,7.9,Xbox One,87,dataset3
Forza Horizon 3: Hot Wheels,5/9/2017,Playground Games,Microsoft Game Studios,Auto Racing Sim,,7.9,PC,tbd,dataset3
Mario & Sonic at the London 2012 Olympic Games,11/15/2011,Sega Sports R&D,Sega,Athletics,Rated E For Everyone,7.9,Wii,66,dataset3
Mario & Sonic at the London 2012 Olympic Games,11/15/2011,Sega Sports R&D,Sega,Athletics,Rated E For Everyone,7.9,3DS,66,dataset3
Monster Jam Steel Titans,6/25/2019,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,3.9,Xbox One,47,dataset3
Monster Jam Steel Titans,6/25/2019,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,3.9,PlayStation 4,53,dataset3
Monster Jam Steel Titans,6/25/2019,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,3.9,PC,tbd,dataset3
Monster Jam Steel Titans,6/25/2019,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,3.9,Nintendo Switch,53,dataset3
IGI 2: Covert Strike,3/3/2003,Innerloop,Codemasters,Tactical FPS,Rated M For Mature,8.1,PC,64,dataset3
Lumino City,12/2/2014,State of Play Games,State of Play Games,Adventure,,7.9,PC,70,dataset3
Lumino City,12/2/2014,State of Play Games,State of Play Games,Adventure,,7.9,iOS (iPhone/iPad),75,dataset3
Diablo II: Lord of Destruction,6/27/2001,Blizzard North,Blizzard Entertainment,Action RPG,Rated M For Mature,9.0,PC,87,dataset3
OutRun,3/12/2015,M2,Sega,Auto Racing,Rated E For Everyone,7.9,3DS,87,dataset3
