title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source,summary
Dying Light,2015-01-27,Techland,Warner Bros. Interactive Entertainment,Survival,Rated M For Mature,8.1,PC,75,dataset3,
Dying Light,2015-01-27,Techland,Warner Bros. Interactive Entertainment,Survival,Rated M For Mature,8.1,PlayStation 4,74,dataset3,
Tempo (2015),2015-02-11,Splash Damage,WARCHEST LIMITED,Action,,,iOS,62,dataset3,
Conflict: Desert Storm,2003-04-22,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,Xbox,65,dataset3,
Conflict: Desert Storm,2003-04-22,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,PC,56,dataset3,
Conflict: Desert Storm,2003-04-22,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,PlayStation 2,55,dataset3,
Conflict: Desert Storm,2003-04-22,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,GameCube,62,dataset3,
Cut the Rope: Time Travel,2013-04-18,ZeptoLab,ZeptoLab,Logic Puzzle,,7.0,iOS,84,dataset3,
Exerbeat,2011-05-17,Namco Bandai Games,Namco Bandai Games,Sports,Rated E For Everyone,7.0,Wii,60,dataset3,
Far Cry 3: Blood Dragon,2013-05-01,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,8.4,Xbox 360,80,dataset3,
Far Cry 3: Blood Dragon,2013-05-01,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,8.4,PlayStation 3,82,dataset3,
Far Cry 3: Blood Dragon,2013-05-01,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,8.4,PC,81,dataset3,
Yu-Gi-Oh! World Championship 2007,2007-03-20,Konami,Konami,Card Battle,Rated E For Everyone,7.0,Nintendo DS,76,dataset3,
MotoGP 2,2003-05-21,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,4.8,Xbox,87,dataset3,
MotoGP 2,2003-05-21,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,4.8,PC,84,dataset3,
Bug Heroes 2,2014-02-19,,,Action,,6.1,iOS,90,dataset3,
Swing Away Golf,2000-10-25,T&E Soft,Electronic Arts,Golf,Rated E For Everyone,,PlayStation 2,78,dataset3,
Counter-Strike: Source,2004-10-07,Valve Software,Valve Software,Tactical FPS,Rated M For Mature,8.2,PC,88,dataset3,
Super Crush K.O.,2020-01-16,Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,7.8,Nintendo Switch,77,dataset3,
Super Crush K.O.,2020-01-16,Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,7.8,PC,69,dataset3,
Allegiance,2000-03-31,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Rated E For Everyone,7.3,PC,86,dataset3,
Harry Potter and the Prisoner of Azkaban,2004-06-02,EA Games,EA Games,Action Adventure,Rated E For Everyone,8.0,PC,67,dataset3,
Harry Potter and the Prisoner of Azkaban,2004-06-02,EA Games,EA Games,Action Adventure,Rated E For Everyone,8.0,PlayStation 2,70,dataset3,
Harry Potter and the Prisoner of Azkaban,2004-06-02,EA Games,EA Games,Action Adventure,Rated E For Everyone,8.0,GameCube,67,dataset3,
Harry Potter and the Prisoner of Azkaban,2004-06-02,EA Games,EA Games,Action Adventure,Rated E For Everyone,8.0,Xbox,67,dataset3,
World of Final Fantasy,2016-10-25,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,PlayStation 4,77,dataset3,
World of Final Fantasy,2016-10-25,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,PlayStation Vita,77,dataset3,
World of Final Fantasy,2016-10-25,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,PC,77,dataset3,
Star Wars: Bounty Hunter,2002-11-19,LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,7.8,PlayStation 2,65,dataset3,
Star Wars: Bounty Hunter,2002-11-19,LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,7.8,GameCube,67,dataset3,
Half-Life,1998-11-19,Valve Software,Sierra Entertainment,FPS,Rated M For Mature,9.1,PC,96,dataset3,
Half-Life,1998-11-19,Valve Software,Sierra Entertainment,FPS,Rated M For Mature,9.1,PlayStation 2,87,dataset3,
Vader Immortal: Episode 1,2019-05-21,ILMxLab,Disney Interactive Studios,First-Person Adventure,,7.0,PC,78,dataset3,
Pool Panic,2018-07-19,Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,7.0,Nintendo Switch,71,dataset3,
Pool Panic,2018-07-19,Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,7.0,PC,tbd,dataset3,
The Scourge Project: Episodes 1 and 2,2010-04-09,Tragnarion Studios,BITBOX S.L.,FPS,,3.5,PC,44,dataset3,
Bejeweled Twist,2008-10-27,PopCap,PopCap,Matching Puzzle,Rated E For Everyone,7.7,PC,78,dataset3,
Bejeweled Twist,2008-10-27,PopCap,PopCap,Matching Puzzle,Rated E For Everyone,7.7,Nintendo DS,77,dataset3,
Jak 2,2003-10-14,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.4,PlayStation 2,87,dataset3,
Senran Kagura Reflexions,2018-09-13,Honey Parade Games,XSEED Games,Adventure,Rated M For Mature,7.7,Nintendo Switch,39,dataset3,
World War 2 Online: Blitzkrieg,2001-06-04,Cornered Rat,Strategy First,FPS,Rated T For Teen,,PC,57,dataset3,
Arena of Valor,2018-09-25,TiMi Studios,Tencent,MOBA,,6.7,Nintendo Switch,79,dataset3,
Arena of Valor,2018-09-25,TiMi Studios,Tencent,MOBA,,6.7,iOS,tbd,dataset3,
MLB 2006,2005-03-08,989 Sports,SCEA,Baseball Sim,Rated E For Everyone,,PlayStation 2,81,dataset3,
Majesty 2: Kingmaker,2010-03-26,1C Entertainment,Paradox Interactive,Strategy,Rated T For Teen,7.3,PC,60,dataset3,
Bird Mania 3D,2012-05-03,Teyon,Teyon,Arcade,Rated E For Everyone,6.2,Nintendo 3DS,51,dataset3,
Heavy Fire: Red Shadow,2018-10-16,Mastiff,Mastiff,FPS,Rated T For Teen,4.3,Xbox One,40,dataset3,
Heavy Fire: Red Shadow,2018-10-16,Mastiff,Mastiff,FPS,Rated T For Teen,4.3,PlayStation 4,38,dataset3,
TRON RUN/r,2016-02-16,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,PC,tbd,dataset3,
TRON RUN/r,2016-02-16,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,PlayStation 4,64,dataset3,
TRON RUN/r,2016-02-16,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,Xbox One,tbd,dataset3,
Traitors Gate,2000-04-30,Daydream Software,DreamCatcher Interactive,Adventure,Rated E For Everyone,4.6,PC,63,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,PlayStation 3,74,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,Nintendo 3DS,82,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,PC,77,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,Wii U,80,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,Xbox 360,75,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,Xbox One,78,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,PlayStation 4,70,dataset3,
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,Nintendo Switch,78,dataset3,
MechWarrior 4: Black Knight Expansion,2001-10-31,Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Rated T For Teen,6.8,PC,78,dataset3,
Wallace & Gromit in Project Zoo,2003-10-07,Frontier Developments,Bam Entertainment,3D Platformer,Rated E For Everyone,2.3,Xbox,63,dataset3,
Wallace & Gromit in Project Zoo,2003-10-07,Frontier Developments,Bam Entertainment,3D Platformer,Rated E For Everyone,2.3,GameCube,66,dataset3,
